SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DAY_OF_CONSOM,CONSOM_PER_DAY,BILLS,STD
0160KO,2019-02-01,2019-02-28,2342,"319,01",27,,35,
0160KO,2019-03-01,2019-03-31,2453,"333,84",30,,35,
0160KO,2019-04-01,2019-04-30,2379,"323,95",29,,35,
0160KO,2019-05-01,2019-05-31,2482,"337,71",30,,35,
0160KO,2019-06-01,2019-06-30,2521,"342,92",29,,35,
0160KO,2019-07-01,2019-07-31,2552,"347,07",30,,35,
0160KO,2019-08-01,2019-08-31,2582,"351,07",30,,35,
0160KO,2019-09-01,2019-09-30,2430,"330,76",29,,35,
0160KO,2019-10-01,2019-10-31,2498,"339,85",30,,35,
0160KO,2019-11-01,2019-11-30,2443,"332,50",29,,35,
0160KO,2019-12-01,2019-12-31,2450,"333,44",30,,35,
0160KO,2020-01-01,2020-01-31,2429,"328,59",30,,35,
0160KO,2020-02-01,2020-02-29,2275,"308,19",28,,35,
0160KO,2020-03-01,2020-03-31,2438,"329,78",30,,35,
0160KO,2020-04-01,2020-04-30,2379,"321,97",29,,35,
0160KO,2020-05-01,2020-05-31,2464,"333,23",30,,35,
0160KO,2020-06-01,2020-06-30,2465,"333,36",29,,35,
0160KO,2020-07-01,2020-07-31,2572,"347,53",30,,35,
0160KO,2020-08-01,2020-08-31,2622,"354,16",30,,35,
0160KO,2020-09-01,2020-09-30,2724,"367,67",29,,35,
0160KO,2020-10-01,2020-10-31,2465,"333,36",30,,35,
0160KO,2020-11-01,2020-11-30,2376,"321,57",29,,35,
0161BB,2018-01-01,2018-12-31,39542,"3 303,09",364,,2,
0161BB,2019-01-01,2019-12-31,39462,"4 043,06",364,,2,
0161BR,2018-01-01,2018-01-31,1971,"281,66",30,,21,
0161BR,2018-02-01,2018-02-28,2013,"316,85",27,,21,
0161BR,2018-03-01,2018-03-31,1926,"276,00",30,,21,
0161BR,2018-04-01,2018-04-30,2408,"302,20",29,,21,
0161BR,2018-05-01,2018-05-31,2099,"277,91",30,,21,
0161BR,2018-06-01,2018-06-30,2227,"313,78",29,,21,
0161BR,2018-07-01,2018-07-31,2287,"293,42",30,,21,
0161BR,2018-08-01,2018-08-31,2314,"332,52",30,,21,
0161BR,2018-09-01,2018-09-30,2215,"266,02",29,,21,
0161BR,2018-10-01,2018-10-31,1988,"253,67",30,,21,
0161BR,2018-11-01,2018-11-30,1866,"275,42",29,,21,
0161BR,2018-12-01,2018-12-31,2049,"317,19",30,,21,
0161BR,2019-01-01,2019-01-31,1824,"268,13",30,,21,
0161BR,2019-02-01,2019-02-28,1754,"257,31",27,,21,
0161BR,2019-03-01,2019-03-31,1710,"296,86",30,,21,
0161BR,2019-04-01,2019-06-30,6686,"1 084,47",90,,21,
0161BR,2019-07-01,2019-09-30,7512,"1 210,18",91,,21,
0161BR,2019-10-01,2019-12-31,5840,"797,74",91,,21,
0161BR,2020-01-01,2020-03-31,7459,"1 118,85",90,,21,
0161BR,2020-04-01,2020-06-30,6587,"1 032,18",90,,21,
0161BR,2020-07-01,2020-09-30,6864,"1 004,89",91,,21,
0161KO,2018-01-01,2018-01-31,616,"93,71",30,,35,
0161KO,2018-02-01,2018-02-28,633,"95,39",27,,35,
0161KO,2018-03-01,2018-03-31,609,"93,12",30,,35,
0161KO,2018-04-01,2018-04-30,508,"83,44",29,,35,
0161KO,2018-05-01,2018-05-31,543,"86,80",30,,35,
0161KO,2018-06-01,2018-06-30,531,"85,71",29,,35,
0161KO,2018-07-01,2018-07-31,558,"88,32",30,,35,
0161KO,2018-08-01,2018-08-31,556,"88,12",30,,35,
0161KO,2018-09-01,2018-09-30,508,"83,88",29,,35,
0161KO,2018-10-01,2018-10-31,517,"84,77",30,,35,
0161KO,2018-11-01,2018-11-30,476,"80,89",29,,35,
0161KO,2018-12-01,2018-12-31,497,"82,88",30,,35,
0161KO,2019-01-01,2019-01-31,551,"95,52",30,,35,
0161KO,2019-02-01,2019-02-28,452,"84,84",27,,35,
0161KO,2019-03-01,2019-03-31,485,"88,33",30,,35,
0161KO,2019-04-01,2019-04-30,472,"86,98",29,,35,
0161KO,2019-05-01,2019-05-31,492,"89,11",30,,35,
0161KO,2019-06-01,2019-06-30,503,"90,35",29,,35,
0161KO,2019-07-01,2019-07-31,521,"92,26",30,,35,
0161KO,2019-08-01,2019-08-31,529,"93,16",30,,35,
0161KO,2019-09-01,2019-09-30,506,"90,69",29,,35,
0161KO,2019-10-01,2019-10-31,518,"91,92",30,,35,
0161KO,2019-11-01,2019-11-30,495,"89,45",29,,35,
0161KO,2019-12-01,2019-12-31,531,"93,38",30,,35,
0161KO,2020-01-01,2020-01-31,521,"91,99",30,,35,
0161KO,2020-02-01,2020-02-29,485,"88,20",28,,35,
0161KO,2020-03-01,2020-03-31,517,"91,56",30,,35,
0161KO,2020-04-01,2020-04-30,498,"89,61",29,,35,
0161KO,2020-05-01,2020-05-31,820,"123,07",30,,35,
0161KO,2020-06-01,2020-06-30,911,"132,60",29,,35,
0161KO,2020-07-01,2020-07-31,959,"137,58",30,,35,
0161KO,2020-08-01,2020-08-31,968,"138,56",30,,35,
0161KO,2020-09-01,2020-09-30,921,"133,69",29,,35,
0161KO,2020-10-01,2020-10-31,940,"135,63",30,,35,
0161KO,2020-11-01,2020-11-30,899,"93,56",29,,35,
0162BB,2018-01-01,2018-01-31,5141,"655,61",30,,35,
0162BB,2018-02-01,2018-02-28,4757,"607,58",27,,35,
0162BB,2018-03-01,2018-03-31,5146,"656,67",30,,35,
0162BB,2018-04-01,2018-04-30,4929,"629,94",29,,35,
0162BB,2018-05-01,2018-05-31,5131,"656,41",30,,35,
0162BB,2018-06-01,2018-06-30,4985,"696,40",29,,35,
0162BB,2018-07-01,2018-07-31,5177,"662,70",30,,35,
0162BB,2018-08-01,2018-08-31,5321,"731,68",30,,35,
0162BB,2018-09-01,2018-09-30,5092,"656,34",29,,35,
0162BB,2018-10-01,2018-10-31,5183,"686,77",30,,35,
0162BB,2018-11-01,2018-11-30,4975,"640,20",29,,35,
0162BB,2018-12-01,2018-12-31,5119,"658,19",30,,35,
0162BB,2019-01-01,2019-01-31,5101,"641,51",30,,35,
0162BB,2019-02-01,2019-02-28,4637,"569,18",27,,35,
0162BB,2019-03-01,2019-03-31,5171,"633,57",30,,35,
0162BB,2019-04-01,2019-04-30,4932,"605,01",29,,35,
0162BB,2019-05-01,2019-05-31,5093,"623,50",30,,35,
0162BB,2019-06-01,2019-06-30,5122,"628,83",29,,35,
0162BB,2019-07-01,2019-07-31,5236,"641,99",30,,35,
0162BB,2019-08-01,2019-08-31,5290,"648,98",30,,35,
0162BB,2019-09-01,2019-09-30,4987,"611,54",29,,35,
0162BB,2019-10-01,2019-10-31,5126,"644,52",30,,35,
0162BB,2019-11-01,2019-11-30,4903,"617,90",29,,35,
0162BB,2019-12-01,2019-12-31,5062,"628,00",30,,35,
0162BB,2020-01-01,2020-01-31,5069,"768,83",30,,35,
0162BB,2020-02-01,2020-02-29,4368,"662,80",28,,35,
0162BB,2020-03-01,2020-03-31,4416,"669,14",30,,35,
0162BB,2020-04-01,2020-04-30,4301,"649,67",29,,35,
0162BB,2020-05-01,2020-05-31,4429,"668,64",30,,35,
0162BB,2020-06-01,2020-06-30,4326,"651,83",29,,35,
0162BB,2020-07-01,2020-07-31,4480,"673,69",30,,35,
0162BB,2020-08-01,2020-08-31,4488,"674,37",30,,35,
0162BB,2020-09-01,2020-09-30,4287,"646,31",29,,35,
0162BB,2020-10-01,2020-10-31,4412,"665,57",30,,35,
0162BB,2020-11-01,2020-11-30,4255,"588,10",29,,35,
0162BR,2018-01-01,2018-01-31,1999,"264,57",30,,35,
0162BR,2018-02-01,2018-02-28,1896,"252,30",27,,35,
0162BR,2018-03-01,2018-03-31,1940,"252,55",30,,35,
0162BR,2018-04-01,2018-04-30,1963,"255,23",29,,35,
0162BR,2018-05-01,2018-05-31,2345,"299,75",30,,35,
0162BR,2018-06-01,2018-06-30,2264,"290,31",29,,35,
0162BR,2018-07-01,2018-07-31,2145,"276,59",30,,35,
0162BR,2018-08-01,2018-08-31,2111,"272,63",30,,35,
0162BR,2018-09-01,2018-09-30,1930,"187,65",29,,35,
0162BR,2018-10-01,2018-10-31,2297,"296,13",30,,35,
0162BR,2018-11-01,2018-11-30,1936,"253,74",29,,35,
0162BR,2018-12-01,2018-12-31,2132,"276,75",30,,35,
0162BR,2019-01-01,2019-01-31,2085,"289,44",30,,35,
0162BR,2019-02-01,2019-02-28,1873,"262,77",27,,35,
0162BR,2019-03-01,2019-03-31,1919,"268,56",30,,35,
0162BR,2019-04-01,2019-04-30,2138,"296,11",29,,35,
0162BR,2019-05-01,2019-05-31,2086,"289,57",30,,35,
0162BR,2019-06-01,2019-06-30,2027,"282,14",29,,35,
0162BR,2019-07-01,2019-07-31,2266,"312,21",30,,35,
0162BR,2019-08-01,2019-08-31,2046,"284,53",30,,35,
0162BR,2019-09-01,2019-09-30,2249,"310,07",29,,35,
0162BR,2019-10-01,2019-10-31,2014,"280,51",30,,35,
0162BR,2019-11-01,2019-11-30,2019,"281,14",29,,35,
0162BR,2019-12-01,2019-12-31,2188,"302,40",30,,35,
0162BR,2020-01-01,2020-01-31,1975,"284,35",30,,35,
0162BR,2020-02-01,2020-02-29,2065,"297,67",28,,35,
0162BR,2020-03-01,2020-03-31,2102,"302,51",30,,35,
0162BR,2020-04-01,2020-04-30,2044,"294,92",29,,35,
0162BR,2020-05-01,2020-05-31,1861,"270,90",30,,35,
0162BR,2020-06-02,2020-06-30,2290,"327,14",28,,35,
0162BR,2020-07-01,2020-07-31,2140,"307,49",30,,35,
0162BR,2020-08-01,2020-08-31,2115,"304,22",30,,35,
0162BR,2020-09-01,2020-09-30,2211,"316,79",29,,35,
0162BR,2020-10-01,2020-10-31,2016,"291,25",30,,35,
0162BR,2020-11-01,2020-11-30,2471,"350,81",29,,35,
0162KO,2018-01-01,2018-12-31,8796,"1 350,35",364,,23,
0162KO,2019-01-01,2019-02-28,1446,"240,37",58,,23,
0162KO,2019-03-01,2019-03-31,760,"125,86",30,,23,
0162KO,2019-04-01,2019-04-30,748,"106,02",29,,23,
0162KO,2019-05-01,2019-05-31,779,"110,17",30,,23,
0162KO,2019-06-01,2019-06-30,835,"117,65",29,,23,
0162KO,2019-07-01,2019-07-31,836,"117,78",30,,23,
0162KO,2019-08-01,2019-08-31,863,"121,39",30,,23,
0162KO,2019-09-01,2019-09-30,796,"112,44",29,,23,
0162KO,2019-10-01,2019-10-31,814,"114,84",30,,23,
0162KO,2019-11-01,2019-11-30,790,"111,64",29,,23,
0162KO,2019-12-01,2019-12-31,825,"116,31",30,,23,
0162KO,2020-01-01,2020-01-31,858,"120,47",30,,23,
0162KO,2020-02-01,2020-02-29,841,"118,22",28,,23,
0162KO,2020-03-01,2020-03-31,714,"101,40",30,,23,
0162KO,2020-04-01,2020-04-30,608,"87,35",29,,23,
0162KO,2020-05-01,2020-05-31,822,"115,70",30,,23,
0162KO,2020-06-01,2020-06-30,945,"132,00",29,,23,
0162KO,2020-07-01,2020-07-31,989,"137,83",30,,23,
0162KO,2020-08-01,2020-08-31,988,"137,69",30,,23,
0162KO,2020-09-01,2020-09-30,950,"132,66",29,,23,
0162KO,2020-10-01,2020-10-31,975,"135,97",30,,23,
0162KO,2020-11-01,2020-11-30,935,"130,67",29,,23,
0163BR,2018-01-01,2018-12-31,17190,"2 142,36",364,,2,
0163BR,2019-01-01,2019-12-31,17185,"2 052,55",364,,2,
0163KO,2018-01-01,2018-03-31,560,"89,60",89,,2,
0163KO,2019-01-01,2019-03-31,447,"71,52",89,,2,
0164BB,2018-01-01,2018-12-31,6828,"888,51",364,,2,
0164BB,2019-01-01,2019-12-31,20200,"1 970,25",364,,2,
0164BR,2018-01-01,2018-06-11,6637,"833,71",161,,3,
0164BR,2018-06-12,2018-12-31,10116,"1 235,27",202,,3,
0164BR,2019-01-01,2019-12-31,21483,"2 518,39",364,,3,
0165BB,2018-01-01,2018-01-31,3034,"374,55",30,,35,
0165BB,2018-02-01,2018-02-28,2583,"320,21",27,,35,
0165BB,2018-03-01,2018-03-31,2877,"355,63",30,,35,
0165BB,2018-04-01,2018-04-30,2935,"362,62",29,,35,
0165BB,2018-05-01,2018-05-31,3075,"379,49",30,,35,
0165BB,2018-06-01,2018-06-30,3031,"393,36",29,,35,
0165BB,2018-07-01,2018-07-31,3122,"385,37",30,,35,
0165BB,2018-08-01,2018-08-31,3161,"390,07",30,,35,
0165BB,2018-09-01,2018-09-30,2947,"366,59",29,,35,
0165BB,2018-10-01,2018-10-31,2993,"372,17",30,,35,
0165BB,2018-11-01,2018-11-30,2837,"353,24",29,,35,
0165BB,2018-12-01,2018-12-31,2790,"347,54",30,,35,
0165BB,2019-01-01,2019-01-31,2750,"376,56",30,,35,
0165BB,2019-02-01,2019-02-28,2531,"347,30",27,,35,
0165BB,2019-03-01,2019-03-31,3363,"458,47",30,,35,
0165BB,2019-04-01,2019-04-30,4151,"563,76",29,,35,
0165BB,2019-05-01,2019-05-31,4169,"566,16",30,,35,
0165BB,2019-06-01,2019-06-30,3972,"549,29",29,,35,
0165BB,2019-07-01,2019-07-31,3021,"412,77",30,,35,
0165BB,2019-08-01,2019-08-31,3068,"419,05",30,,35,
0165BB,2019-09-01,2019-09-30,2838,"388,32",29,,35,
0165BB,2019-10-01,2019-10-31,2945,"402,62",30,,35,
0165BB,2019-11-01,2019-11-30,2754,"377,10",29,,35,
0165BB,2019-12-01,2019-12-31,2790,"381,91",30,,35,
0165BB,2020-01-01,2020-01-31,2780,"378,49",30,,35,
0165BB,2020-02-01,2020-02-29,2613,"356,36",28,,35,
0165BB,2020-03-01,2020-03-31,2783,"378,89",30,,35,
0165BB,2020-04-01,2020-04-30,2730,"371,86",29,,35,
0165BB,2020-05-01,2020-05-31,2843,"386,83",30,,35,
0165BB,2020-06-01,2020-06-30,2865,"389,75",29,,35,
0165BB,2020-07-01,2020-07-31,3055,"414,92",30,,35,
0165BB,2020-08-01,2020-08-31,3103,"421,28",30,,35,
0165BB,2020-09-01,2020-09-30,2876,"391,21",29,,35,
0165BB,2020-10-01,2020-10-31,2833,"385,51",30,,35,
0165BB,2020-11-01,2020-11-30,2533,"345,77",29,,35,
0165BR,2018-01-01,2018-01-31,2504,"329,44",30,,33,
0165BR,2018-02-01,2018-02-28,1819,"240,32",27,,33,
0165BR,2018-03-01,2018-03-31,2471,"324,81",30,,33,
0165BR,2018-04-01,2018-04-30,2031,"267,28",29,,33,
0165BR,2018-05-01,2018-05-31,2237,"293,93",30,,33,
0165BR,2018-06-01,2018-06-30,2149,"283,77",29,,33,
0165BR,2018-07-01,2018-07-31,2464,"325,95",30,,33,
0165BR,2018-08-01,2018-08-31,2354,"310,91",30,,33,
0165BR,2018-09-01,2018-09-30,2323,"308,83",29,,33,
0165BR,2018-10-01,2018-10-31,2202,"291,64",30,,33,
0165BR,2018-11-01,2018-11-30,2180,"289,50",29,,33,
0165BR,2018-12-01,2018-12-31,2371,"314,95",30,,33,
0165BR,2019-01-01,2019-01-31,2072,"323,27",30,,33,
0165BR,2019-02-01,2019-02-28,2043,"317,48",27,,33,
0165BR,2019-03-01,2019-03-31,2316,"362,03",30,,33,
0165BR,2019-04-01,2019-04-30,2381,"372,53",29,,33,
0165BR,2019-05-01,2019-05-31,2049,"320,59",30,,33,
0165BR,2019-06-01,2019-06-30,2552,"398,49",29,,33,
0165BR,2019-07-01,2019-07-31,2133,"333,21",30,,33,
0165BR,2019-08-01,2019-08-31,2563,"396,62",30,,33,
0165BR,2019-09-01,2019-09-30,2187,"339,31",29,,33,
0165BR,2019-10-01,2019-10-31,2963,"463,32",30,,33,
0165BR,2019-11-01,2019-11-30,1933,"303,33",29,,33,
0165BR,2019-12-01,2019-12-31,2316,"365,33",30,,33,
0165BR,2020-01-01,2020-01-31,2906,"410,46",30,,33,
0165BR,2020-02-01,2020-03-31,4200,"596,80",59,,33,
0165BR,2020-04-01,2020-04-30,2550,"390,25",29,,33,
0165BR,2020-05-01,2020-06-30,4984,"760,26",60,,33,
0165BR,2020-07-01,2020-07-31,2646,"375,02",30,,33,
0165BR,2020-08-01,2020-08-31,2335,"331,57",30,,33,
0165BR,2020-09-01,2020-09-30,2049,"291,20",29,,33,
0165BR,2020-10-01,2020-10-31,2024,"294,27",30,,33,
0165BR,2020-11-01,2020-11-30,1821,"310,72",29,,33,
0166BB,2018-01-01,2018-01-31,2416,"314,53",30,,35,
0166BB,2018-02-01,2018-02-28,2180,"284,81",27,,35,
0166BB,2018-03-01,2018-03-31,2407,"314,15",30,,35,
0166BB,2018-04-01,2018-04-30,2285,"296,93",29,,35,
0166BB,2018-05-01,2018-05-31,2390,"310,58",30,,35,
0166BB,2018-06-01,2018-06-30,2317,"301,65",29,,35,
0166BB,2018-07-01,2018-07-31,2342,"305,48",30,,35,
0166BB,2018-08-01,2018-08-31,2400,"312,39",30,,35,
0166BB,2018-09-01,2018-09-30,2424,"316,79",29,,35,
0166BB,2018-10-01,2018-10-31,2611,"340,43",30,,35,
0166BB,2018-11-01,2018-11-30,2528,"330,37",29,,35,
0166BB,2018-12-01,2018-12-31,2614,"420,12",30,,35,
0166BB,2019-01-01,2019-01-31,2629,"327,99",30,,35,
0166BB,2019-02-01,2019-02-28,2390,"299,10",27,,35,
0166BB,2019-03-01,2019-03-31,2625,"327,42",30,,35,
0166BB,2019-04-01,2019-04-30,2645,"329,25",29,,35,
0166BB,2019-05-01,2019-05-31,2815,"349,56",30,,35,
0166BB,2019-06-01,2019-06-30,2839,"353,30",29,,35,
0166BB,2019-07-01,2019-07-31,2909,"360,95",30,,35,
0166BB,2019-08-01,2019-08-31,2920,"362,79",30,,35,
0166BB,2019-09-01,2019-09-30,2762,"343,45",29,,35,
0166BB,2019-10-01,2019-10-31,2862,"355,63",30,,35,
0166BB,2019-11-01,2019-11-30,2793,"347,71",29,,35,
0166BB,2019-12-01,2019-12-31,2847,"354,10",30,,35,
0166BB,2020-01-01,2020-01-31,2849,"420,63",30,,35,
0166BB,2020-02-01,2020-02-29,2638,"391,63",28,,35,
0166BB,2020-03-01,2020-03-31,2746,"409,18",30,,35,
0166BB,2020-04-01,2020-04-30,2658,"395,29",29,,35,
0166BB,2020-05-01,2020-05-31,2752,"408,88",30,,35,
0166BB,2020-06-01,2020-06-30,2685,"398,81",29,,35,
0166BB,2020-07-01,2020-07-31,2816,"416,22",30,,35,
0166BB,2020-08-01,2020-08-31,2862,"421,69",30,,35,
0166BB,2020-09-01,2020-09-30,2753,"406,11",29,,35,
0166BB,2020-10-01,2020-10-31,2840,"419,09",30,,35,
0166BB,2020-11-01,2020-11-30,2725,"378,21",29,,35,
0166BR,2018-01-01,2018-03-31,7158,"917,19",89,,11,
0166BR,2018-04-01,2018-06-30,7333,"937,68",90,,11,
0166BR,2018-07-01,2018-09-30,7694,"979,94",91,,11,
0166BR,2018-10-01,2018-12-31,6997,"898,35",91,,11,
0166BR,2019-01-01,2019-03-31,7406,"997,68",89,,11,
0166BR,2019-04-01,2019-06-30,7531,"1 013,18",90,,11,
0166BR,2019-07-01,2019-09-30,7867,"1 054,78",91,,11,
0166BR,2019-10-01,2019-12-31,7404,"997,37",91,,11,
0166BR,2020-01-01,2020-03-31,7077,"956,88",90,,11,
0166BR,2020-04-01,2020-06-30,7293,"983,60",90,,11,
0166BR,2020-07-01,2020-09-30,7917,"1 061,05",91,,11,
0166KO,2018-01-01,2018-01-31,1604,"193,42",30,,35,
0166KO,2018-02-01,2018-02-28,1679,"200,53",27,,35,
0166KO,2018-03-01,2018-03-31,1603,"193,32",30,,35,
0166KO,2018-04-01,2018-04-30,1083,"143,93",29,,35,
0166KO,2018-05-01,2018-05-31,1134,"148,77",30,,35,
0166KO,2018-06-01,2018-06-30,1104,"146,01",29,,35,
0166KO,2018-07-01,2018-07-31,1172,"152,51",30,,35,
0166KO,2018-08-01,2018-08-31,1170,"152,31",30,,35,
0166KO,2018-09-01,2018-09-30,1094,"145,96",29,,35,
0166KO,2018-10-01,2018-10-31,1109,"147,35",30,,35,
0166KO,2018-11-01,2018-11-30,1082,"144,76",29,,35,
0166KO,2018-12-01,2018-12-31,1143,"150,64",30,,35,
0166KO,2019-01-01,2019-01-31,1162,"167,50",30,,35,
0166KO,2019-02-01,2019-02-28,1020,"152,21",27,,35,
0166KO,2019-03-01,2019-03-31,1111,"161,99",30,,35,
0166KO,2019-04-01,2019-04-30,1068,"157,38",29,,35,
0166KO,2019-05-01,2019-05-31,1106,"161,43",30,,35,
0166KO,2019-06-01,2019-06-30,1123,"163,34",29,,35,
0166KO,2019-07-01,2019-07-31,1140,"165,14",30,,35,
0166KO,2019-08-01,2019-08-31,1144,"165,59",30,,35,
0166KO,2019-09-01,2019-09-30,1099,"160,75",29,,35,
0166KO,2019-10-01,2019-10-31,1141,"165,25",30,,35,
0166KO,2019-11-01,2019-11-30,1109,"161,77",29,,35,
0166KO,2019-12-01,2019-12-31,1413,"194,70",30,,35,
0166KO,2020-01-01,2020-01-31,1533,"203,65",30,,35,
0166KO,2020-02-01,2020-02-29,1263,"175,49",28,,35,
0166KO,2020-03-01,2020-03-31,1286,"177,99",30,,35,
0166KO,2020-04-01,2020-04-30,1087,"157,19",29,,35,
0166KO,2020-05-01,2020-05-31,1107,"159,25",30,,35,
0166KO,2020-06-01,2020-06-30,1084,"156,87",29,,35,
0166KO,2020-07-01,2020-07-31,1107,"159,25",30,,35,
0166KO,2020-08-01,2020-08-31,617,"108,25",30,,35,
0166KO,2020-09-01,2020-09-30,483,"94,28",29,,35,
0166KO,2020-10-01,2020-10-31,489,"94,93",30,,35,
0166KO,2020-11-01,2020-11-30,454,"47,32",29,,35,
0167BB,2018-01-01,2018-01-31,3750,"393,49",30,,35,
0167BB,2018-02-01,2018-02-28,3390,"363,10",27,,35,
0167BB,2018-03-01,2018-03-31,3757,"394,10",30,,35,
0167BB,2018-04-01,2018-04-30,3591,"380,11",29,,35,
0167BB,2018-05-01,2018-05-31,3725,"391,50",30,,35,
0167BB,2018-06-01,2018-06-30,3644,"384,72",29,,35,
0167BB,2018-07-01,2018-07-31,3770,"395,61",30,,35,
0167BB,2018-08-01,2018-08-31,3853,"402,72",30,,35,
0167BB,2018-09-01,2018-09-30,3647,"388,04",29,,35,
0167BB,2018-10-01,2018-10-31,3806,"401,50",30,,35,
0167BB,2018-11-01,2018-11-30,3668,"389,79",29,,35,
0167BB,2018-12-01,2018-12-31,3775,"398,86",30,,35,
0167BB,2019-01-01,2019-01-31,3777,"393,74",30,,35,
0167BB,2019-02-01,2019-02-28,3373,"360,81",27,,35,
0167BB,2019-03-01,2019-03-31,3714,"388,67",30,,35,
0167BB,2019-04-01,2019-04-30,3654,"383,76",29,,35,
0167BB,2019-05-01,2019-05-31,3791,"394,95",30,,35,
0167BB,2019-06-01,2019-06-30,3865,"401,14",29,,35,
0167BB,2019-07-01,2019-07-31,3975,"409,97",30,,35,
0167BB,2019-08-01,2019-08-31,3990,"411,26",30,,35,
0167BB,2019-09-01,2019-09-30,3793,"395,03",29,,35,
0167BB,2019-10-01,2019-10-31,3961,"450,30",30,,35,
0167BB,2019-11-01,2019-11-30,3850,"439,89",29,,35,
0167BB,2019-12-01,2019-12-31,3892,"444,45",30,,35,
0167BB,2020-01-01,2020-01-31,3880,"528,95",30,,35,
0167BB,2020-02-01,2020-02-29,3580,"495,62",28,,35,
0167BB,2020-03-01,2020-03-31,3904,"532,48",30,,35,
0167BB,2020-04-01,2020-04-30,3779,"517,24",29,,35,
0167BB,2020-05-01,2020-05-31,3911,"532,12",30,,35,
0167BB,2020-06-01,2020-06-30,3888,"527,86",29,,35,
0167BB,2020-07-01,2020-07-31,4065,"547,12",30,,35,
0167BB,2020-08-01,2020-08-31,4135,"554,02",30,,35,
0167BB,2020-09-01,2020-09-30,3929,"531,62",29,,35,
0167BB,2020-10-01,2020-10-31,4132,"553,81",30,,35,
0167BB,2020-11-01,2020-11-30,3949,"404,44",29,,35,
0167BR,2018-01-01,2018-10-15,13703,"1 586,97",287,,3,
0167BR,2018-10-16,2018-12-31,3848,"445,96",76,,3,
0167BR,2019-01-01,2019-12-31,27695,"3 036,02",364,,3,
0167KO,2018-01-01,2018-12-31,13329,"1 827,88",364,,2,
0167KO,2019-01-01,2019-12-31,13974,"1 760,57",364,,2,
0168BB,2018-01-01,2018-01-31,9891,"1 261,23",30,,35,
0168BB,2018-02-01,2018-02-28,9061,"1 157,44",27,,35,
0168BB,2018-03-01,2018-03-31,10168,"1 297,04",30,,35,
0168BB,2018-04-01,2018-04-30,10450,"1 334,23",29,,35,
0168BB,2018-05-01,2018-05-31,11298,"1 441,59",30,,35,
0168BB,2018-06-01,2018-06-30,11384,"1 451,29",29,,35,
0168BB,2018-07-01,2018-07-31,11887,"1 524,05",30,,35,
0168BB,2018-08-01,2018-08-31,11882,"1 517,65",30,,35,
0168BB,2018-09-01,2018-09-30,11114,"1 423,74",29,,35,
0168BB,2018-10-01,2018-10-31,11516,"1 472,30",30,,35,
0168BB,2018-11-01,2018-11-30,11116,"1 424,85",29,,35,
0168BB,2018-12-01,2018-12-31,11051,"1 415,88",30,,35,
0168BB,2019-01-01,2019-01-31,11040,"1 346,69",30,,35,
0168BB,2019-02-01,2019-02-28,10437,"1 275,47",27,,35,
0168BB,2019-03-01,2019-03-31,10827,"1 332,15",30,,35,
0168BB,2019-04-01,2019-04-30,10573,"1 292,02",29,,35,
0168BB,2019-05-01,2019-05-31,10880,"1 328,48",30,,35,
0168BB,2019-06-01,2019-06-30,11616,"1 420,48",29,,35,
0168BB,2019-07-01,2019-07-31,11896,"1 451,76",30,,35,
0168BB,2019-08-01,2019-08-31,11962,"1 460,39",30,,35,
0168BB,2019-09-01,2019-09-30,11105,"1 357,13",29,,35,
0168BB,2019-10-01,2019-10-31,11233,"1 373,22",30,,35,
0168BB,2019-11-01,2019-11-30,10398,"1 267,04",29,,35,
0168BB,2019-12-01,2019-12-31,10364,"1 264,02",30,,35,
0168BB,2020-01-01,2020-01-31,10391,"1 461,64",30,,35,
0168BB,2020-02-01,2020-02-29,10303,"1 449,97",28,,35,
0168BB,2020-03-01,2020-03-31,11254,"1 584,94",30,,35,
0168BB,2020-04-01,2020-04-30,11030,"1 550,26",29,,35,
0168BB,2020-05-01,2020-05-31,11772,"1 652,34",30,,35,
0168BB,2020-06-01,2020-06-30,12189,"1 709,14",29,,35,
0168BB,2020-07-01,2020-07-31,12803,"1 793,72",30,,35,
0168BB,2020-08-01,2020-08-31,13110,"1 834,52",30,,35,
0168BB,2020-09-01,2020-09-30,12218,"1 710,39",29,,35,
0168BB,2020-10-01,2020-10-31,12157,"1 737,37",30,,35,
0168BB,2020-11-01,2020-11-30,11276,"1 557,56",29,,35,
0168BR,2018-01-01,2018-12-31,13475,"1 662,33",364,,3,
0168BR,2019-01-01,2019-08-22,13468,"1 543,03",233,,3,
0168BR,2019-08-23,2019-12-31,6986,"806,52",130,,3,
0168KO,2018-01-01,2018-12-31,7954,"1 248,76",364,,2,
0168KO,2019-01-01,2019-12-31,8750,"1 460,87",364,,2,
0169BB,2018-01-01,2018-12-31,26415,"3 608,34",364,,13,
0169BB,2019-01-01,2019-12-31,29820,"4 051,78",364,,13,
0169BB,2020-01-01,2020-01-31,2613,"371,82",30,,13,
0169BB,2020-02-01,2020-02-29,2363,"337,55",28,,13,
0169BB,2020-03-01,2020-03-31,2610,"374,22",30,,13,
0169BB,2020-04-01,2020-04-30,2579,"369,31",29,,13,
0169BB,2020-05-01,2020-05-31,2664,"380,07",30,,13,
0169BB,2020-06-01,2020-06-30,2662,"379,62",29,,13,
0169BB,2020-07-01,2020-07-31,2770,"394,62",30,,13,
